기준년도,학교종류명,설립구분명,학교명,단과대학명,학과명(전공),구분명,학과특성명,졸업자수,국내+해외 취업자수,진학자수,기타인원수1(입대자수+외국인유학생+건강보험직장가입제외대상자수),기타인원수2,취업률(%)[ J / [I - (K+L)] ] *100(%)
2018,대학교,사립,아주대학교,간호대학,간호학과,주간,일반과정,65,53,0,0,12,81.5
2018,대학교,사립,아주대학교,정보통신대학,전자공학과,주간,일반과정,250,163,39,1,44,77.6
2018,대학교,사립,아주대학교,경영대학,e-비즈니스학과,주간,일반과정,47,34,0,0,13,72.3
2018,대학교,사립,아주대학교,경영대학,경영학과,주간,일반과정,165,102,5,0,45,63.8
2018,대학교,사립,아주대학교,경영대학,금융공학과,주간,일반과정,36,17,10,0,9,65.4
2018,대학교,사립,아주대학교,공과대학,건설시스템공학과,주간,일반과정,34,20,3,0,11,64.5
2018,대학교,사립,아주대학교,공과대학,건축학과,주간,일반과정,80,44,7,0,28,60.3
2018,대학교,사립,아주대학교,공과대학,교통시스템공학과,주간,일반과정,18,12,4,0,2,85.7
2018,대학교,사립,아주대학교,공과대학,기계공학과,주간,일반과정,211,150,18,0,43,77.7
2018,대학교,사립,아주대학교,공과대학,산업공학과,주간,일반과정,104,82,10,1,11,88.2
2018,대학교,사립,아주대학교,공과대학,신소재공학과,주간,일반과정,29,23,1,0,5,82.1
2018,대학교,사립,아주대학교,공과대학,응용화학생명공학과,주간,일반과정,116,53,34,0,29,64.6
2018,대학교,사립,아주대학교,공과대학,화학공학과,주간,일반과정,81,51,11,0,19,72.9
2018,대학교,사립,아주대학교,공과대학,환경안전공학과,주간,일반과정,30,13,7,0,10,56.5
2018,대학교,사립,아주대학교,법과대학,법학과,주간,일반과정,6,2,0,0,4,33.3
2018,대학교,사립,아주대학교,사회과학대학,경제학과,주간,일반과정,81,46,3,0,32,59
2018,대학교,사립,아주대학교,사회과학대학,사회학과,주간,일반과정,11,7,1,0,3,70
2018,대학교,사립,아주대학교,사회과학대학,스포츠레저학과,주간,일반과정,10,6,0,0,4,60
2018,대학교,사립,아주대학교,사회과학대학,심리학과,주간,일반과정,76,29,18,2,27,51.8
2018,대학교,사립,아주대학교,사회과학대학,정치외교학과,주간,일반과정,28,12,2,0,13,46.2
2018,대학교,사립,아주대학교,사회과학대학,행정학과,주간,일반과정,27,14,1,1,11,56
2018,대학교,사립,아주대학교,약학대학,약학과,주간,일반과정,36,27,2,6,1,96.4
2018,대학교,사립,아주대학교,의과대학,의학과(본과),주간,일반과정,24,21,0,0,3,87.5
2018,대학교,사립,아주대학교,인문대학,국어국문학과,주간,일반과정,20,12,1,0,7,63.2
2018,대학교,사립,아주대학교,인문대학,문화콘텐츠학과,주간,일반과정,41,28,2,0,11,71.8
2018,대학교,사립,아주대학교,인문대학,불어불문학과,주간,일반과정,15,6,0,0,9,40
2018,대학교,사립,아주대학교,인문대학,사학과,주간,일반과정,18,8,3,0,7,53.3
2018,대학교,사립,아주대학교,인문대학,영어영문학과,주간,일반과정,57,34,4,0,18,64.2
2018,대학교,사립,아주대학교,자연과학대학,물리학과,주간,일반과정,27,9,13,0,5,64.3
2018,대학교,사립,아주대학교,자연과학대학,생명과학과,주간,일반과정,39,7,19,0,13,35
2018,대학교,사립,아주대학교,자연과학대학,수학과,주간,일반과정,18,8,5,1,4,66.7
2018,대학교,사립,아주대학교,자연과학대학,화학과,주간,일반과정,40,18,14,0,8,69.2
2018,대학교,사립,아주대학교,정보통신대학,미디어학과,주간,일반과정,134,92,1,1,38,69.7
2018,대학교,사립,아주대학교,정보통신대학,사이버보안학과,주간,일반과정,14,7,4,1,2,77.8
2018,대학교,사립,아주대학교,정보통신대학,소프트웨어학과,주간,일반과정,128,84,23,0,21,80
2018,대학교,사립,아주대학교,간호대학,간호학과(특별과정),야간,특별과정,73,59,0,0,14,80.8
2017,대학교,사립,아주대학교 ,간호대학,간호학과,주간,일반과정,73,63,0,2,8,88.7
2017,대학교,사립,아주대학교 ,정보통신대학,전자공학과,주간,일반과정,299,187,46,1,64,74.2
2017,대학교,사립,아주대학교 ,경영대학,e-비즈니스학과,주간,일반과정,60,41,1,0,18,69.5
2017,대학교,사립,아주대학교 ,경영대학,경영학과,주간,일반과정,213,127,3,0,72,60.5
2017,대학교,사립,아주대학교 ,경영대학,금융공학과,주간,일반과정,37,14,5,0,17,43.8
2017,대학교,사립,아주대학교 ,공과대학,건설시스템공학과,주간,일반과정,34,20,3,0,10,64.5
2017,대학교,사립,아주대학교 ,공과대학,건축학과,주간,일반과정,72,46,3,0,22,66.7
2017,대학교,사립,아주대학교 ,공과대학,교통시스템공학과,주간,일반과정,14,12,0,0,2,85.7
2017,대학교,사립,아주대학교 ,공과대학,기계공학과,주간,일반과정,216,140,27,0,49,74.1
2017,대학교,사립,아주대학교 ,공과대학,산업공학과,주간,일반과정,118,75,13,0,30,71.4
2017,대학교,사립,아주대학교 ,공과대학,신소재공학과,주간,일반과정,19,13,5,0,1,92.9
2017,대학교,사립,아주대학교 ,공과대학,응용화학생명공학과,주간,일반과정,95,40,32,0,23,63.5
2017,대학교,사립,아주대학교 ,공과대학,화학공학과,주간,일반과정,99,62,8,0,29,68.1
2017,대학교,사립,아주대학교 ,공과대학,환경안전공학과,주간,일반과정,29,13,5,0,11,54.2
2017,대학교,사립,아주대학교 ,법과대학,법학과,주간,일반과정,29,16,1,1,11,59.3
2017,대학교,사립,아주대학교 ,사회과학대학,경제학과,주간,일반과정,127,67,6,2,50,56.3
2017,대학교,사립,아주대학교 ,사회과학대학,사회학과,주간,일반과정,17,8,0,0,9,47.1
2017,대학교,사립,아주대학교 ,사회과학대학,스포츠레저학과,주간,일반과정,9,5,0,0,4,55.6
2017,대학교,사립,아주대학교 ,사회과학대학,심리학과,주간,일반과정,97,33,29,1,32,49.3
2017,대학교,사립,아주대학교 ,사회과학대학,정치외교학과,주간,일반과정,25,13,3,0,8,59.1
2017,대학교,사립,아주대학교 ,사회과학대학,행정학과,주간,일반과정,30,12,2,0,16,42.9
2017,대학교,사립,아주대학교 ,약학대학,약학과,주간,일반과정,36,27,6,2,1,96.4
2017,대학교,사립,아주대학교 ,의과대학,의학과(본과),주간,일반과정,19,17,0,1,1,94.4
